City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Kamaishi,JP,2021-11-23 19:47:54,39.2667,141.8833,42.24,88,70,7.0
210,Antalaha,MG,2021-11-23 19:47:54,-14.9003,50.2788,73.44,77,53,2.08
211,Saskylakh,RU,2021-11-23 19:47:55,71.9167,114.0833,-25.06,95,9,10.85
212,Takapau,NZ,2021-11-23 19:47:55,-40.0333,176.35,58.19,79,100,2.75
213,Port Hardy,CA,2021-11-23 19:45:04,50.6996,-127.4199,44.78,81,75,6.91
214,Vostok,RU,2021-11-23 19:47:56,46.4856,135.8833,7.68,92,100,9.06
215,Tuatapere,NZ,2021-11-23 19:47:56,-46.1333,167.6833,54.18,70,99,2.17
216,Leh,IN,2021-11-23 19:47:56,34.1667,77.5833,18.0,49,99,1.5
217,Goderich,CA,2021-11-23 19:47:57,43.7501,-81.7165,37.9,60,98,12.66
218,Sinjar,IQ,2021-11-23 19:47:57,36.3209,41.8754,56.91,51,4,5.99
219,Karachi,PK,2021-11-23 19:47:58,24.9056,67.0822,71.42,78,4,6.91
220,Nizhniy Odes,RU,2021-11-23 19:47:58,63.6445,54.856,12.0,96,100,5.3
221,Mucurapo,TT,2021-11-23 19:47:59,10.6667,-61.5333,85.12,74,100,6.31
222,Les Cayes,HT,2021-11-23 19:47:59,18.2,-73.75,84.0,62,79,6.76
223,Cururupu,BR,2021-11-23 19:47:59,-1.8283,-44.8683,83.79,67,98,6.2
224,Boyabat,TR,2021-11-23 19:48:00,41.4689,34.7667,52.68,68,100,1.03
225,Coihaique,CL,2021-11-23 19:47:31,-45.5752,-72.0662,68.61,42,40,9.22
226,Nieuw Nickerie,SR,2021-11-23 19:48:01,5.95,-56.9833,80.8,82,100,8.95
227,Kysyl-Syr,RU,2021-11-23 19:48:01,63.8986,122.7617,-28.39,99,17,3.87
228,Bonthe,SL,2021-11-23 19:49:02,7.5264,-12.505,81.0,79,10,6.49
229,Padang,ID,2021-11-23 19:49:02,-0.9492,100.3543,77.18,75,100,4.41
230,Tukrah,LY,2021-11-23 19:49:03,32.5341,20.5791,67.48,53,12,8.84
231,Yellowknife,CA,2021-11-23 19:45:04,62.456,-114.3525,-10.59,95,75,3.0
232,Kautokeino,NO,2021-11-23 19:49:03,69.0125,23.0412,1.72,98,92,5.17
233,Evensk,RU,2021-11-23 19:49:04,61.95,159.2333,11.73,72,95,10.87
234,Zhigansk,RU,2021-11-23 19:49:04,66.7697,123.3711,-38.24,100,72,3.53
235,Kindersley,CA,2021-11-23 19:45:04,51.4668,-109.1682,37.18,64,75,18.41
236,Ancud,CL,2021-11-23 19:49:05,-41.8697,-73.8203,65.73,82,53,8.77
237,Lewistown,US,2021-11-23 19:46:49,40.5992,-77.5714,41.9,42,75,10.36
238,Loiza,PR,2021-11-23 19:49:05,18.4313,-65.8802,87.78,65,40,9.22
239,Razdolinsk,RU,2021-11-23 19:49:06,58.4211,94.6658,26.58,96,100,9.86
240,Brae,GB,2021-11-23 19:49:06,60.3964,-1.353,49.91,85,100,23.0
241,Fare,PF,2021-11-23 19:49:07,-16.7,-151.0167,80.06,73,95,3.18
